city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Oslo,Oslo,59.91,10.75,Norway,NO,NOR,Oslo,primary,693494,1578324706
Bergen,Bergen,60.39,5.32,Norway,NO,NOR,Hordaland,admin,257087,1578465701
Trondheim,Trondheim,63.44,10.40,Norway,NO,NOR,Sør-Trøndelag,minor,183378,1578633461
Stavanger,Stavanger,58.97,5.73,Norway,NO,NOR,Rogaland,admin,129300,1578801684
Kristiansand,Kristiansand,58.15,8.00,Norway,NO,NOR,Vest-Agder,minor,112588,1578642977
Drammen,Drammen,59.74,10.20,Norway,NO,NOR,Buskerud,minor,109416,1578937195
Skien,Skien,59.21,9.55,Norway,NO,NOR,Telemark,admin,55144,1578807356
Bodø,Bodo,67.28,14.38,Norway,NO,NOR,Nordland,admin,52560,1578023501
Arendal,Arendal,58.47,8.77,Norway,NO,NOR,Aust-Agder,admin,45065,1578533046
Tromsø,Tromso,69.65,18.96,Norway,NO,NOR,Troms,admin,38980,1578188822
Molde,Molde,62.73,7.18,Norway,NO,NOR,Møre og Romsdal,admin,31870,1578540727
Hamar,Hamar,60.79,11.07,Norway,NO,NOR,Hedmark,admin,27947,1578111692
Steinkjer,Steinkjer,64.01,11.49,Norway,NO,NOR,Nord-Trøndelag,admin,12985,1578642047
Fredrikstad,Fredrikstad,59.22,10.95,Norway,NO,NOR,Østfold,minor,83193,1578625656
Sandefjord,Sandefjord,59.13,10.22,Norway,NO,NOR,Vestfold,,64345,1578389701
Asker,Asker,59.83,10.44,Norway,NO,NOR,Oslo,minor,61523,1578961890
Nordre Fåle,Nordre Fale,59.75,10.87,Norway,NO,NOR,Akershus,,60034,1578002015
Sandnes,Sandnes,58.85,5.73,Norway,NO,NOR,Rogaland,minor,58694,1578525190
Tønsberg,Tonsberg,59.30,10.42,Norway,NO,NOR,Vestfold,minor,57026,1578658467
Sarpsborg,Sarpsborg,59.28,11.11,Norway,NO,NOR,Østfold,minor,54678,1578097769
Ålesund,Alesund,62.47,6.15,Norway,NO,NOR,Møre og Romsdal,minor,52163,1578050516
